indice,texto,emocao
1,me sinto em paz,alegria
2,os pesadelos me deixam sem dormir,medo
3,a perda é um pensamento assustador,medo
4,o silêncio às vezes me amedronta,medo
5,o som de passos atrás de mim me apavora,medo
6,temo o desconhecido,medo
7,sinto amor pelas pessoas que me cercam,alegria
8,dançar me traz liberdade,alegria
9,o som de passos atrás de mim me apavora,medo
10,políticos usam suas forças para afugentar as pessoas,medo
11,os pesadelos me deixam sem dormir,medo
12,me sinto leve quando canto,alegria
13,a solidão me dá arrepios,medo
14,gosto de ficar no seu aconchego,alegria
15,a solidão me dá arrepios,medo
16,adoro estar em família,alegria
17,a natureza é fonte de felicidade,alegria
18,sinto pavor do escuro,medo
19,políticos usam suas forças para afugentar as pessoas,medo
20,sinto amor pelas pessoas que me cercam,alegria
21,isso me apavora,medo
22,sinto amor pelas pessoas que me cercam,alegria
23,estou com receio do que pode acontecer,medo
24,a solidão me dá arrepios,medo
25,este trabalho é agradável,alegria
26,o objetivo disso é apenas afugentar mais,medo
27,gosto de ficar no seu aconchego,alegria
28,fico contente com meu sucesso,alegria
29,este trabalho é agradável,alegria
30,tenho medo de perder quem amo,medo
31,tenho orgulho das minhas conquistas,alegria
32,políticos usam suas forças para afugentar as pessoas,medo
33,me sinto em paz,alegria
34,gosto de ficar no seu aconchego,alegria
35,sou admirada por muitos,alegria
36,é preciso afugentar este medo,medo
37,dançar me traz liberdade,alegria
38,as ameaças me deixam nervoso,medo
39,estou chocado e amedrontado com este assassino,medo
40,isso me apavora,medo
41,a solidão me dá arrepios,medo
42,políticos usam suas forças para afugentar as pessoas,medo
43,a solidão me dá arrepios,medo
44,as ameaças me deixam nervoso,medo
45,este trabalho é agradável,alegria
46,me sinto leve quando canto,alegria
47,sinto angústia com a escuridão,medo
48,tenho orgulho das minhas conquistas,alegria
49,estou feliz com meus amigos,alegria
50,me sinto leve quando canto,alegria
51,adoro estar em família,alegria
52,cada conquista me traz uma alegria imensa,alegria
53,é preciso afugentar este medo,medo
54,cada conquista me traz uma alegria imensa,alegria
55,a violência me assusta,medo
56,é ótimo compartilhar momentos bons,alegria
57,os pesadelos me deixam sem dormir,medo
58,as ameaças me deixam nervoso,medo
59,fico paralisado diante do perigo,medo
60,cada conquista me traz uma alegria imensa,alegria
61,os pesadelos me deixam sem dormir,medo
62,este trabalho é agradável,alegria
63,a esperança me faz acreditar no futuro,alegria
64,a amizade verdadeira é motivo de celebração,alegria
65,é preciso afugentar este medo,medo
66,me sinto em paz,alegria
67,a vida é cheia de cores quando estou com você,alegria
68,os dias ensolarados me deixam animado,alegria
69,estou feliz com meus amigos,alegria
70,sinto amor pelas pessoas que me cercam,alegria
71,é ótimo compartilhar momentos bons,alegria
72,a instabilidade me traz insegurança,medo
73,a vida é cheia de cores quando estou com você,alegria
74,a violência urbana me dá medo,medo
75,sinto angústia com a escuridão,medo
76,a amizade verdadeira é motivo de celebração,alegria
77,me sinto leve quando canto,alegria
78,adoro estar em família,alegria
79,fico contente com meu sucesso,alegria
80,sinto angústia com a escuridão,medo
81,tenho orgulho das minhas conquistas,alegria
82,os dias ensolarados me deixam animado,alegria
83,temo o desconhecido,medo
84,tenho orgulho das minhas conquistas,alegria
85,sorrir é o que me faz mais feliz,alegria
86,o objetivo disso é apenas afugentar mais,medo
87,sou admirada por muitos,alegria
88,sou admirada por muitos,alegria
89,a bondade das pessoas me emociona,alegria
90,a solidão me dá arrepios,medo
91,gosto de ficar no seu aconchego,alegria
92,a bondade das pessoas me emociona,alegria
93,a esperança me faz acreditar no futuro,alegria
