indice,texto,emocao
1,me sinto inspirado pela beleza da vida,alegria
2,um novo dia traz novas alegrias,alegria
3,fico apreensivo em lugares desconhecidos,medo
4,me sinto indefeso em situações de risco,medo
5,me sinto completo ao realizar meus sonhos,alegria
6,a incerteza me assusta,medo
7,um novo dia traz novas alegrias,alegria
8,as pequenas vitórias me enchem de orgulho,alegria
9,o barulho repentino me assusta,medo
10,o barulho repentino me assusta,medo
11,um novo dia traz novas alegrias,alegria
12,fico inseguro com tantas mudanças,medo
13,a música me deixa em êxtase,alegria
14,a incerteza me assusta,medo
15,o carinho dos amigos me fortalece,alegria
16,o carinho dos amigos me fortalece,alegria
17,me sinto acuado diante do perigo,medo
18,me sinto acuado diante do perigo,medo
19,a ansiedade me paralisa em alguns momentos,medo
20,a música me deixa em êxtase,alegria
21,a música me deixa em êxtase,alegria
22,abraços apertados me trazem paz,alegria
23,a música me deixa em êxtase,alegria
24,me sinto acuado diante do perigo,medo
25,as notícias ruins me trazem temor,medo
26,rir junto das crianças é maravilhoso,alegria
27,a música me deixa em êxtase,alegria
28,me sinto indefeso em situações de risco,medo
29,me sinto inspirado pela beleza da vida,alegria
30,as notícias ruins me trazem temor,medo
31,abraços apertados me trazem paz,alegria
32,me sinto acuado diante do perigo,medo
33,fico inseguro com tantas mudanças,medo
34,o carinho dos amigos me fortalece,alegria
35,fico apreensivo em lugares desconhecidos,medo
36,celebro cada instante de felicidade,alegria
37,as pequenas vitórias me enchem de orgulho,alegria
38,fico inseguro com tantas mudanças,medo
39,a solidão no escuro me deixa apavorado,medo
40,o barulho repentino me assusta,medo
41,celebro cada instante de felicidade,alegria
42,o barulho repentino me assusta,medo
43,me sinto completo ao realizar meus sonhos,alegria
44,me sinto acuado diante do perigo,medo
45,um novo dia traz novas alegrias,alegria
46,me sinto acuado diante do perigo,medo
47,o carinho dos amigos me fortalece,alegria
48,a incerteza me assusta,medo
49,as pequenas vitórias me enchem de orgulho,alegria
50,as sombras me dão calafrios,medo
51,as sombras me dão calafrios,medo
52,rir junto das crianças é maravilhoso,alegria
53,o carinho dos amigos me fortalece,alegria
54,a incerteza me assusta,medo
55,me sinto inspirado pela beleza da vida,alegria
56,a solidão no escuro me deixa apavorado,medo
57,me sinto inspirado pela beleza da vida,alegria
58,a solidão no escuro me deixa apavorado,medo
59,a incerteza me assusta,medo
60,me sinto acuado diante do perigo,medo
61,um novo dia traz novas alegrias,alegria
62,a ansiedade me paralisa em alguns momentos,medo
63,a incerteza me assusta,medo
64,as pequenas vitórias me enchem de orgulho,alegria
65,as notícias ruins me trazem temor,medo
66,me sinto inspirado pela beleza da vida,alegria
67,fico apreensivo em lugares desconhecidos,medo
68,o carinho dos amigos me fortalece,alegria
69,abraços apertados me trazem paz,alegria
70,a ansiedade me paralisa em alguns momentos,medo
71,a solidão no escuro me deixa apavorado,medo
72,as sombras me dão calafrios,medo
73,o barulho repentino me assusta,medo
74,me sinto inspirado pela beleza da vida,alegria
75,me sinto completo ao realizar meus sonhos,alegria
76,me sinto completo ao realizar meus sonhos,alegria
77,abraços apertados me trazem paz,alegria
78,o carinho dos amigos me fortalece,alegria
79,as sombras me dão calafrios,medo
80,momentos felizes ficam guardados para sempre,alegria
81,um novo dia traz novas alegrias,alegria
82,abraços apertados me trazem paz,alegria
83,a ansiedade me paralisa em alguns momentos,medo
84,me sinto inspirado pela beleza da vida,alegria
85,momentos felizes ficam guardados para sempre,alegria
86,a música me deixa em êxtase,alegria
87,as notícias ruins me trazem temor,medo
88,o barulho repentino me assusta,medo
89,a solidão no escuro me deixa apavorado,medo
90,abraços apertados me trazem paz,alegria
91,abraços apertados me trazem paz,alegria
92,o barulho repentino me assusta,medo
93,as notícias ruins me trazem temor,medo
94,abraços apertados me trazem paz,alegria
95,o carinho dos amigos me fortalece,alegria
96,a solidão no escuro me deixa apavorado,medo
97,me sinto acuado diante do perigo,medo
98,o barulho repentino me assusta,medo
99,celebro cada instante de felicidade,alegria
100,a solidão no escuro me deixa apavorado,medo
